,cell_type,sex,ann_finest_level,count
0,hematopoietic stem cell,female,Basal resting,0
1,hematopoietic stem cell,female,Suprabasal,0
2,hematopoietic stem cell,female,Hillock-like,0
3,hematopoietic stem cell,female,Deuterosomal,0
4,hematopoietic stem cell,female,Multiciliated (nasal),0
5,hematopoietic stem cell,female,Multiciliated (non-nasal),0
6,hematopoietic stem cell,female,Club (non-nasal),0
7,hematopoietic stem cell,female,Club (nasal),0
8,hematopoietic stem cell,female,Goblet (nasal),0
9,hematopoietic stem cell,female,Goblet (bronchial),0
10,hematopoietic stem cell,female,Goblet (subsegmental),0
11,hematopoietic stem cell,female,AT0,0
12,hematopoietic stem cell,female,pre-TB secretory,0
13,hematopoietic stem cell,female,Ionocyte,0
14,hematopoietic stem cell,female,Tuft,0
15,hematopoietic stem cell,female,Neuroendocrine,0
16,hematopoietic stem cell,female,SMG serous (nasal),0
17,hematopoietic stem cell,female,SMG serous (bronchial),0
18,hematopoietic stem cell,female,SMG mucous,0
19,hematopoietic stem cell,female,SMG duct,0
20,hematopoietic stem cell,female,AT1,0
21,hematopoietic stem cell,female,AT2,0
22,hematopoietic stem cell,female,AT2 proliferating,0
23,hematopoietic stem cell,female,EC arterial,0
24,hematopoietic stem cell,female,EC aerocyte capillary,0
25,hematopoietic stem cell,female,EC general capillary,0
26,hematopoietic stem cell,female,EC venous systemic,0
27,hematopoietic stem cell,female,EC venous pulmonary,0
28,hematopoietic stem cell,female,Lymphatic EC mature,0
29,hematopoietic stem cell,female,Lymphatic EC proliferating,0
30,hematopoietic stem cell,female,Lymphatic EC differentiating,0
31,hematopoietic stem cell,female,Peribronchial fibroblasts,0
32,hematopoietic stem cell,female,Adventitial fibroblasts,0
33,hematopoietic stem cell,female,Alveolar fibroblasts,0
34,hematopoietic stem cell,female,Pericytes,0
35,hematopoietic stem cell,female,Subpleural fibroblasts,0
36,hematopoietic stem cell,female,Myofibroblasts,0
37,hematopoietic stem cell,female,Smooth muscle,0
38,hematopoietic stem cell,female,Smooth muscle FAM83D+,0
39,hematopoietic stem cell,female,SM activated stress response,0
40,hematopoietic stem cell,female,Mesothelium,0
41,hematopoietic stem cell,female,Hematopoietic stem cells,41
42,hematopoietic stem cell,female,B cells,0
43,hematopoietic stem cell,female,Plasma cells,0
44,hematopoietic stem cell,female,CD4 T cells,0
45,hematopoietic stem cell,female,CD8 T cells,0
46,hematopoietic stem cell,female,T cells proliferating,0
47,hematopoietic stem cell,female,NK cells,0
48,hematopoietic stem cell,female,DC1,0
49,hematopoietic stem cell,female,DC2,0
50,hematopoietic stem cell,female,Migratory DCs,0
51,hematopoietic stem cell,female,Plasmacytoid DCs,0
52,hematopoietic stem cell,female,Alveolar macrophages,0
53,hematopoietic stem cell,female,Alveolar Mph CCL3+,0
54,hematopoietic stem cell,female,Alveolar Mph MT-positive,0
55,hematopoietic stem cell,female,Alveolar Mph proliferating,0
56,hematopoietic stem cell,female,Monocyte-derived Mph,0
57,hematopoietic stem cell,female,Interstitial Mph perivascular,0
58,hematopoietic stem cell,female,Classical monocytes,0
59,hematopoietic stem cell,female,Non-classical monocytes,0
60,hematopoietic stem cell,female,Mast cells,0
61,hematopoietic stem cell,male,Basal resting,0
62,hematopoietic stem cell,male,Suprabasal,0
63,hematopoietic stem cell,male,Hillock-like,0
64,hematopoietic stem cell,male,Deuterosomal,0
65,hematopoietic stem cell,male,Multiciliated (nasal),0
66,hematopoietic stem cell,male,Multiciliated (non-nasal),0
67,hematopoietic stem cell,male,Club (non-nasal),0
68,hematopoietic stem cell,male,Club (nasal),0
69,hematopoietic stem cell,male,Goblet (nasal),0
70,hematopoietic stem cell,male,Goblet (bronchial),0
71,hematopoietic stem cell,male,Goblet (subsegmental),0
72,hematopoietic stem cell,male,AT0,0
73,hematopoietic stem cell,male,pre-TB secretory,0
74,hematopoietic stem cell,male,Ionocyte,0
75,hematopoietic stem cell,male,Tuft,0
76,hematopoietic stem cell,male,Neuroendocrine,0
77,hematopoietic stem cell,male,SMG serous (nasal),0
78,hematopoietic stem cell,male,SMG serous (bronchial),0
79,hematopoietic stem cell,male,SMG mucous,0
80,hematopoietic stem cell,male,SMG duct,0
81,hematopoietic stem cell,male,AT1,0
82,hematopoietic stem cell,male,AT2,0
83,hematopoietic stem cell,male,AT2 proliferating,0
84,hematopoietic stem cell,male,EC arterial,0
85,hematopoietic stem cell,male,EC aerocyte capillary,0
86,hematopoietic stem cell,male,EC general capillary,0
87,hematopoietic stem cell,male,EC venous systemic,0
88,hematopoietic stem cell,male,EC venous pulmonary,0
89,hematopoietic stem cell,male,Lymphatic EC mature,0
90,hematopoietic stem cell,male,Lymphatic EC proliferating,0
91,hematopoietic stem cell,male,Lymphatic EC differentiating,0
92,hematopoietic stem cell,male,Peribronchial fibroblasts,0
93,hematopoietic stem cell,male,Adventitial fibroblasts,0
