cell_type,sex,ann_level_4,0
hematopoietic stem cell,female,AT2 proliferating,0
hematopoietic stem cell,female,Adventitial fibroblasts,0
hematopoietic stem cell,female,Alveolar fibroblasts,0
hematopoietic stem cell,female,Alveolar macrophages,0
hematopoietic stem cell,female,B cells,0
hematopoietic stem cell,female,Basal resting,0
hematopoietic stem cell,female,CD4 T cells,0
hematopoietic stem cell,female,CD8 T cells,0
hematopoietic stem cell,female,Classical monocytes,0
hematopoietic stem cell,female,Club,0
hematopoietic stem cell,female,DC1,0
hematopoietic stem cell,female,DC2,0
hematopoietic stem cell,female,Deuterosomal,0
hematopoietic stem cell,female,EC aerocyte capillary,0
hematopoietic stem cell,female,EC general capillary,0
hematopoietic stem cell,female,EC venous pulmonary,0
hematopoietic stem cell,female,EC venous systemic,0
hematopoietic stem cell,female,Goblet,0
hematopoietic stem cell,female,Hillock-like,0
hematopoietic stem cell,female,Interstitial macrophages,0
hematopoietic stem cell,female,Ionocyte,0
hematopoietic stem cell,female,Migratory DCs,0
hematopoietic stem cell,female,Multiciliated,0
hematopoietic stem cell,female,NK cells,0
hematopoietic stem cell,female,Neuroendocrine,0
hematopoietic stem cell,female,Non-classical monocytes,0
hematopoietic stem cell,female,None,41
hematopoietic stem cell,female,Peribronchial fibroblasts,0
hematopoietic stem cell,female,Pericytes,0
hematopoietic stem cell,female,Plasma cells,0
hematopoietic stem cell,female,Plasmacytoid DCs,0
hematopoietic stem cell,female,SMG duct,0
hematopoietic stem cell,female,SMG mucous,0
hematopoietic stem cell,female,SMG serous,0
hematopoietic stem cell,female,Subpleural fibroblasts,0
hematopoietic stem cell,female,Suprabasal,0
hematopoietic stem cell,female,T cells proliferating,0
hematopoietic stem cell,female,Transitional Club-AT2,0
hematopoietic stem cell,female,Tuft,0
hematopoietic stem cell,male,AT2 proliferating,0
hematopoietic stem cell,male,Adventitial fibroblasts,0
hematopoietic stem cell,male,Alveolar fibroblasts,0
hematopoietic stem cell,male,Alveolar macrophages,0
hematopoietic stem cell,male,B cells,0
hematopoietic stem cell,male,Basal resting,0
hematopoietic stem cell,male,CD4 T cells,0
hematopoietic stem cell,male,CD8 T cells,0
hematopoietic stem cell,male,Classical monocytes,0
hematopoietic stem cell,male,Club,0
hematopoietic stem cell,male,DC1,0
hematopoietic stem cell,male,DC2,0
hematopoietic stem cell,male,Deuterosomal,0
hematopoietic stem cell,male,EC aerocyte capillary,0
hematopoietic stem cell,male,EC general capillary,0
hematopoietic stem cell,male,EC venous pulmonary,0
hematopoietic stem cell,male,EC venous systemic,0
hematopoietic stem cell,male,Goblet,0
hematopoietic stem cell,male,Hillock-like,0
hematopoietic stem cell,male,Interstitial macrophages,0
hematopoietic stem cell,male,Ionocyte,0
hematopoietic stem cell,male,Migratory DCs,0
hematopoietic stem cell,male,Multiciliated,0
hematopoietic stem cell,male,NK cells,0
hematopoietic stem cell,male,Neuroendocrine,0
hematopoietic stem cell,male,Non-classical monocytes,0
hematopoietic stem cell,male,None,19
hematopoietic stem cell,male,Peribronchial fibroblasts,0
hematopoietic stem cell,male,Pericytes,0
hematopoietic stem cell,male,Plasma cells,0
hematopoietic stem cell,male,Plasmacytoid DCs,0
hematopoietic stem cell,male,SMG duct,0
hematopoietic stem cell,male,SMG mucous,0
hematopoietic stem cell,male,SMG serous,0
hematopoietic stem cell,male,Subpleural fibroblasts,0
hematopoietic stem cell,male,Suprabasal,0
hematopoietic stem cell,male,T cells proliferating,0
hematopoietic stem cell,male,Transitional Club-AT2,0
hematopoietic stem cell,male,Tuft,0
fibroblast,female,AT2 proliferating,0
fibroblast,female,Adventitial fibroblasts,0
fibroblast,female,Alveolar fibroblasts,0
fibroblast,female,Alveolar macrophages,0
fibroblast,female,B cells,0
fibroblast,female,Basal resting,0
fibroblast,female,CD4 T cells,0
fibroblast,female,CD8 T cells,0
fibroblast,female,Classical monocytes,0
fibroblast,female,Club,0
fibroblast,female,DC1,0
fibroblast,female,DC2,0
fibroblast,female,Deuterosomal,0
fibroblast,female,EC aerocyte capillary,0
fibroblast,female,EC general capillary,0
fibroblast,female,EC venous pulmonary,0
fibroblast,female,EC venous systemic,0
fibroblast,female,Goblet,0
fibroblast,female,Hillock-like,0
fibroblast,female,Interstitial macrophages,0
fibroblast,female,Ionocyte,0
fibroblast,female,Migratory DCs,0
fibroblast,female,Multiciliated,0
fibroblast,female,NK cells,0
fibroblast,female,Neuroendocrine,0
fibroblast,female,Non-classical monocytes,0
fibroblast,female,None,0
fibroblast,female,Peribronchial fibroblasts,0
fibroblast,female,Pericytes,0
fibroblast,female,Plasma cells,0
fibroblast,female,Plasmacytoid DCs,0
fibroblast,female,SMG duct,0
fibroblast,female,SMG mucous,0
fibroblast,female,SMG serous,0
fibroblast,female,Subpleural fibroblasts,88
fibroblast,female,Suprabasal,0
fibroblast,female,T cells proliferating,0
fibroblast,female,Transitional Club-AT2,0
fibroblast,female,Tuft,0
fibroblast,male,AT2 proliferating,0
fibroblast,male,Adventitial fibroblasts,0
fibroblast,male,Alveolar fibroblasts,0
fibroblast,male,Alveolar macrophages,0
fibroblast,male,B cells,0
fibroblast,male,Basal resting,0
fibroblast,male,CD4 T cells,0
fibroblast,male,CD8 T cells,0
fibroblast,male,Classical monocytes,0
fibroblast,male,Club,0
fibroblast,male,DC1,0
fibroblast,male,DC2,0
fibroblast,male,Deuterosomal,0
fibroblast,male,EC aerocyte capillary,0
fibroblast,male,EC general capillary,0
fibroblast,male,EC venous pulmonary,0
fibroblast,male,EC venous systemic,0
fibroblast,male,Goblet,0
fibroblast,male,Hillock-like,0
fibroblast,male,Interstitial macrophages,0
fibroblast,male,Ionocyte,0
fibroblast,male,Migratory DCs,0
fibroblast,male,Multiciliated,0
fibroblast,male,NK cells,0
fibroblast,male,Neuroendocrine,0
fibroblast,male,Non-classical monocytes,0
fibroblast,male,None,0
fibroblast,male,Peribronchial fibroblasts,0
fibroblast,male,Pericytes,0
fibroblast,male,Plasma cells,0
