cell_type,ann_level_1,0
hematopoietic stem cell,Endothelial,0
hematopoietic stem cell,Epithelial,0
hematopoietic stem cell,Immune,60
hematopoietic stem cell,Stroma,0
fibroblast,Endothelial,0
fibroblast,Epithelial,0
fibroblast,Immune,0
fibroblast,Stroma,276
mesothelial cell,Endothelial,0
mesothelial cell,Epithelial,0
mesothelial cell,Immune,0
mesothelial cell,Stroma,230
T cell,Endothelial,0
T cell,Epithelial,0
T cell,Immune,500
T cell,Stroma,0
mast cell,Endothelial,0
mast cell,Epithelial,0
mast cell,Immune,6623
mast cell,Stroma,0
club cell,Endothelial,0
club cell,Epithelial,36023
club cell,Immune,0
club cell,Stroma,0
myofibroblast cell,Endothelial,0
myofibroblast cell,Epithelial,0
myofibroblast cell,Immune,0
myofibroblast cell,Stroma,716
smooth muscle cell,Endothelial,0
smooth muscle cell,Epithelial,0
smooth muscle cell,Immune,0
smooth muscle cell,Stroma,556
B cell,Endothelial,0
B cell,Epithelial,0
B cell,Immune,4511
B cell,Stroma,0
serous secreting cell,Endothelial,0
serous secreting cell,Epithelial,1472
serous secreting cell,Immune,0
serous secreting cell,Stroma,0
mucus secreting cell,Endothelial,0
mucus secreting cell,Epithelial,537
mucus secreting cell,Immune,0
mucus secreting cell,Stroma,0
dendritic cell,Endothelial,0
dendritic cell,Epithelial,0
dendritic cell,Immune,312
dendritic cell,Stroma,0
stromal cell,Endothelial,0
stromal cell,Epithelial,0
stromal cell,Immune,0
stromal cell,Stroma,335
alveolar macrophage,Endothelial,0
alveolar macrophage,Epithelial,0
alveolar macrophage,Immune,78816
alveolar macrophage,Stroma,0
acinar cell,Endothelial,0
acinar cell,Epithelial,1274
acinar cell,Immune,0
acinar cell,Stroma,0
natural killer cell,Endothelial,0
natural killer cell,Epithelial,0
natural killer cell,Immune,16978
natural killer cell,Stroma,0
"CD4-positive, alpha-beta T cell",Endothelial,0
"CD4-positive, alpha-beta T cell",Epithelial,0
"CD4-positive, alpha-beta T cell",Immune,21285
"CD4-positive, alpha-beta T cell",Stroma,0
"CD8-positive, alpha-beta T cell",Endothelial,0
"CD8-positive, alpha-beta T cell",Epithelial,0
"CD8-positive, alpha-beta T cell",Immune,29074
"CD8-positive, alpha-beta T cell",Stroma,0
plasmacytoid dendritic cell,Endothelial,0
plasmacytoid dendritic cell,Epithelial,0
plasmacytoid dendritic cell,Immune,552
plasmacytoid dendritic cell,Stroma,0
plasma cell,Endothelial,0
plasma cell,Epithelial,0
plasma cell,Immune,1773
plasma cell,Stroma,0
classical monocyte,Endothelial,0
classical monocyte,Epithelial,0
classical monocyte,Immune,17695
classical monocyte,Stroma,0
elicited macrophage,Endothelial,0
elicited macrophage,Epithelial,0
elicited macrophage,Immune,28223
elicited macrophage,Stroma,0
non-classical monocyte,Endothelial,0
non-classical monocyte,Epithelial,0
non-classical monocyte,Immune,8834
non-classical monocyte,Stroma,0
conventional dendritic cell,Endothelial,0
conventional dendritic cell,Epithelial,0
conventional dendritic cell,Immune,322
conventional dendritic cell,Stroma,0
type I pneumocyte,Endothelial,0
type I pneumocyte,Epithelial,7937
