cell_type,ann_level_1,ann_level_5,0
hematopoietic stem cell,Endothelial,AT0,0
hematopoietic stem cell,Endothelial,Alveolar Mph CCL3+,0
hematopoietic stem cell,Endothelial,Alveolar Mph MT-positive,0
hematopoietic stem cell,Endothelial,Alveolar Mph proliferating,0
hematopoietic stem cell,Endothelial,Club (nasal),0
hematopoietic stem cell,Endothelial,Club (non-nasal),0
hematopoietic stem cell,Endothelial,Goblet (bronchial),0
hematopoietic stem cell,Endothelial,Goblet (nasal),0
hematopoietic stem cell,Endothelial,Goblet (subsegmental),0
hematopoietic stem cell,Endothelial,Interstitial Mph perivascular,0
hematopoietic stem cell,Endothelial,Monocyte-derived Mph,0
hematopoietic stem cell,Endothelial,Multiciliated (nasal),0
hematopoietic stem cell,Endothelial,Multiciliated (non-nasal),0
hematopoietic stem cell,Endothelial,None,0
hematopoietic stem cell,Endothelial,SMG serous (bronchial),0
hematopoietic stem cell,Endothelial,SMG serous (nasal),0
hematopoietic stem cell,Endothelial,pre-TB secretory,0
hematopoietic stem cell,Epithelial,AT0,0
hematopoietic stem cell,Epithelial,Alveolar Mph CCL3+,0
hematopoietic stem cell,Epithelial,Alveolar Mph MT-positive,0
hematopoietic stem cell,Epithelial,Alveolar Mph proliferating,0
hematopoietic stem cell,Epithelial,Club (nasal),0
hematopoietic stem cell,Epithelial,Club (non-nasal),0
hematopoietic stem cell,Epithelial,Goblet (bronchial),0
hematopoietic stem cell,Epithelial,Goblet (nasal),0
hematopoietic stem cell,Epithelial,Goblet (subsegmental),0
hematopoietic stem cell,Epithelial,Interstitial Mph perivascular,0
hematopoietic stem cell,Epithelial,Monocyte-derived Mph,0
hematopoietic stem cell,Epithelial,Multiciliated (nasal),0
hematopoietic stem cell,Epithelial,Multiciliated (non-nasal),0
hematopoietic stem cell,Epithelial,None,0
hematopoietic stem cell,Epithelial,SMG serous (bronchial),0
hematopoietic stem cell,Epithelial,SMG serous (nasal),0
hematopoietic stem cell,Epithelial,pre-TB secretory,0
hematopoietic stem cell,Immune,AT0,0
hematopoietic stem cell,Immune,Alveolar Mph CCL3+,0
hematopoietic stem cell,Immune,Alveolar Mph MT-positive,0
hematopoietic stem cell,Immune,Alveolar Mph proliferating,0
hematopoietic stem cell,Immune,Club (nasal),0
hematopoietic stem cell,Immune,Club (non-nasal),0
hematopoietic stem cell,Immune,Goblet (bronchial),0
hematopoietic stem cell,Immune,Goblet (nasal),0
hematopoietic stem cell,Immune,Goblet (subsegmental),0
