cell_type,sex,ann_level_2,0
hematopoietic stem cell,female,Airway epithelium,0
hematopoietic stem cell,female,Alveolar epithelium,0
hematopoietic stem cell,female,Blood vessels,0
hematopoietic stem cell,female,Fibroblast lineage,0
hematopoietic stem cell,female,Hematopoietic stem cells,41
hematopoietic stem cell,female,Lymphatic EC,0
hematopoietic stem cell,female,Lymphoid,0
hematopoietic stem cell,female,Mesothelium,0
hematopoietic stem cell,female,Myeloid,0
hematopoietic stem cell,female,Smooth muscle,0
hematopoietic stem cell,female,Submucosal Gland,0
hematopoietic stem cell,male,Airway epithelium,0
hematopoietic stem cell,male,Alveolar epithelium,0
hematopoietic stem cell,male,Blood vessels,0
hematopoietic stem cell,male,Fibroblast lineage,0
hematopoietic stem cell,male,Hematopoietic stem cells,19
hematopoietic stem cell,male,Lymphatic EC,0
hematopoietic stem cell,male,Lymphoid,0
hematopoietic stem cell,male,Mesothelium,0
hematopoietic stem cell,male,Myeloid,0
hematopoietic stem cell,male,Smooth muscle,0
hematopoietic stem cell,male,Submucosal Gland,0
fibroblast,female,Airway epithelium,0
fibroblast,female,Alveolar epithelium,0
fibroblast,female,Blood vessels,0
fibroblast,female,Fibroblast lineage,88
fibroblast,female,Hematopoietic stem cells,0
fibroblast,female,Lymphatic EC,0
fibroblast,female,Lymphoid,0
fibroblast,female,Mesothelium,0
fibroblast,female,Myeloid,0
fibroblast,female,Smooth muscle,0
fibroblast,female,Submucosal Gland,0
fibroblast,male,Airway epithelium,0
fibroblast,male,Alveolar epithelium,0
fibroblast,male,Blood vessels,0
fibroblast,male,Fibroblast lineage,188
fibroblast,male,Hematopoietic stem cells,0
fibroblast,male,Lymphatic EC,0
fibroblast,male,Lymphoid,0
fibroblast,male,Mesothelium,0
fibroblast,male,Myeloid,0
fibroblast,male,Smooth muscle,0
fibroblast,male,Submucosal Gland,0
mesothelial cell,female,Airway epithelium,0
mesothelial cell,female,Alveolar epithelium,0
mesothelial cell,female,Blood vessels,0
mesothelial cell,female,Fibroblast lineage,0
mesothelial cell,female,Hematopoietic stem cells,0
mesothelial cell,female,Lymphatic EC,0
mesothelial cell,female,Lymphoid,0
mesothelial cell,female,Mesothelium,7
mesothelial cell,female,Myeloid,0
mesothelial cell,female,Smooth muscle,0
mesothelial cell,female,Submucosal Gland,0
mesothelial cell,male,Airway epithelium,0
mesothelial cell,male,Alveolar epithelium,0
mesothelial cell,male,Blood vessels,0
mesothelial cell,male,Fibroblast lineage,0
mesothelial cell,male,Hematopoietic stem cells,0
mesothelial cell,male,Lymphatic EC,0
mesothelial cell,male,Lymphoid,0
mesothelial cell,male,Mesothelium,223
mesothelial cell,male,Myeloid,0
mesothelial cell,male,Smooth muscle,0
mesothelial cell,male,Submucosal Gland,0
T cell,female,Airway epithelium,0
T cell,female,Alveolar epithelium,0
T cell,female,Blood vessels,0
T cell,female,Fibroblast lineage,0
T cell,female,Hematopoietic stem cells,0
T cell,female,Lymphatic EC,0
T cell,female,Lymphoid,378
T cell,female,Mesothelium,0
T cell,female,Myeloid,0
T cell,female,Smooth muscle,0
T cell,female,Submucosal Gland,0
T cell,male,Airway epithelium,0
T cell,male,Alveolar epithelium,0
T cell,male,Blood vessels,0
T cell,male,Fibroblast lineage,0
T cell,male,Hematopoietic stem cells,0
T cell,male,Lymphatic EC,0
T cell,male,Lymphoid,122
T cell,male,Mesothelium,0
T cell,male,Myeloid,0
T cell,male,Smooth muscle,0
T cell,male,Submucosal Gland,0
mast cell,female,Airway epithelium,0
mast cell,female,Alveolar epithelium,0
mast cell,female,Blood vessels,0
mast cell,female,Fibroblast lineage,0
