names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000172005,16.86639,2.3497086,7.950932382579787e-64,2.122065991327771e-61
ENSG00000126353,21.127224,2.3068917,4.4706846926956026e-99,2.456597408394149e-96
ENSG00000111863,4.26266,2.1272252,2.020078155574536e-05,0.0003874789201356
ENSG00000250303,3.6428428,2.0978556,0.0002696435602953,0.0043603526449606
ENSG00000060558,10.174803,1.9774269,2.5692044746551843e-24,1.7560825901887044e-22
ENSG00000264745,4.0550447,1.8920417,5.012476973808893e-05,0.0009021814689404
ENSG00000170293,7.354806,1.8532853,1.9120488842828373e-13,7.250779151981359e-12
ENSG00000197121,3.9448066,1.844432,7.986444827008675e-05,0.001392732606298
ENSG00000227507,40.269257,1.7758014,0.0,0.0
ENSG00000182463,5.746042,1.7613614,9.135664488448456e-09,2.527323411888248e-07
ENSG00000186827,13.628388,1.7441161,2.7150926558635523e-42,3.9423708076642576e-40
ENSG00000115687,7.41134,1.7224286,1.2502943434854918e-13,4.793194074122765e-12
ENSG00000138449,3.8259218,1.7200859,0.0001302836508729,0.0021981150102728
ENSG00000138795,14.9108,1.6968893,2.803735130842318e-50,5.572473284164903e-48
ENSG00000184557,24.543556,1.6815891,5.0675583067924246e-133,4.437914187173465e-130
ENSG00000178562,14.23963,1.5992041,5.200176521727786e-46,8.778900412343344e-44
ENSG00000112486,11.067158,1.5942159,1.8105298669606842e-28,1.5145757907972006e-26
ENSG00000169508,27.1373,1.589451,3.5758301987425206e-162,4.175377728731683e-159
ENSG00000198520,4.7376513,1.5620126,2.162093367957832e-06,4.664396038772154e-05
ENSG00000140511,4.907756,1.5061843,9.212436356036554e-07,2.0853741231144455e-05
ENSG00000165272,18.850246,1.4901388,2.924732500657529e-79,1.1708957656918083e-76
ENSG00000136997,13.071374,1.4871949,4.7990702261428954e-39,6.169226789790299e-37
ENSG00000189283,3.2110825,1.4839914,0.0013223603173447,0.0190332950864251
ENSG00000104951,3.3845391,1.4776796,0.0007129785383495,0.0108178183858729
ENSG00000110944,5.1652074,1.4642574,2.401722522389798e-07,5.777328065875682e-06
ENSG00000035115,9.689758,1.4129767,3.3331715241310433e-22,2.0574625284636198e-20
ENSG00000144152,4.6780844,1.4101505,2.89567518093401e-06,6.15693484601629e-05
ENSG00000117602,15.699804,1.4033316,1.5171003653329143e-55,3.456522003096715e-53
ENSG00000134460,5.8161526,1.3988727,6.021755998191899e-09,1.6858510498834145e-07
ENSG00000113070,2.8982005,1.3945168,0.0037531046205096,0.049402068522857
ENSG00000102245,17.938148,1.3833314,5.940214186234506e-72,1.981768599464712e-69
ENSG00000183813,3.2162855,1.3807875,0.0012986161114791,0.0187396590669882
ENSG00000160789,22.963882,1.3654723,1.0706929677317638e-116,6.977930169236035e-114
ENSG00000188404,15.032009,1.3463225,4.530512907063665e-51,9.267379102741032e-49
ENSG00000229056,3.3984718,1.3403786,0.0006776345018756,0.0103487897986717
ENSG00000186854,6.870312,1.3389914,6.406158651573663e-12,2.2109136705874422e-10
ENSG00000141384,2.9002414,1.3186563,0.0037287535488115,0.0491276866252442
ENSG00000138135,5.338637,1.3184801,9.364807329369408e-08,2.347400363132811e-06
ENSG00000107281,6.5027657,1.3155401,7.885646759434984e-11,2.551817145339561e-09
